"Lead Country","project_id","status","Short Title","Region","people directly benefiting","MW of renewable or low-emission energy capacity installed or rehabilitated","Number of projects","grant_amount_vertical_fund","expenses_vertical_fund","cofinancing_vertical_fund","tonnes of CO2-eq emissions avoided or reduced","taxonomy_level2","taxonomy_level3"
"Iran",4018,"Active","Energy Efficient Buildings","RBAP",0,0,1,4000000,3927621,28696760,1000000,"Energy Efficiency","Energy Transition"
"Ukraine",4114,"Active","EE in Public Buildings","RBEC",700,0,1,5480000,2800053,56753195,6447,"Energy Efficiency","Energy Transition"
"Malaysia",4283,"Active","GTALCC","RBAP",0,0,1,4354794,4252553,55954266,2152033,"Others","Cross-cutting"
"Sao Tome & Principe",4602,"Active","Sao Tome Land, Forest, Energy & Climate","RBA",0,6,1,5274544,4432408,20705704,436200,"Energy Access","Energy Access"
"Kazakhstan",4670,"Active","Urban NAMA","RBEC",37805,0,1,5930000,4125976,65389094,370000,"Others","Cross-cutting"
"Indonesia",4673,"Active","RE Market Transformation (NAMA)","RBAP",3224,100,1,8025000,5825915,60130000,1289846,"Energy Access","Energy Access"
"Congo",4685,"Active","Congo Micro-hydroelectricity","RBA",45000,4,1,1944133,324716,10250000,275414,"Energy Access","Energy Access"
"Dem. Rep. of the Congo",4690,"Active","Congo Kinshasa Microhydro","RBA",1000,10,1,3187669,2341260,14250000,688536,"Energy Access","Energy Access"
"Zambia",4712,"Active","ZAmbia LDCF 1","RBA",128,0,1,3885000,3679430,29030090,0,"Others","Cross-cutting"
"Cuba",4899,"Active","CleanEnerg Cuba","RBLAC",336,0,1,2737524,2624793,20009107,6700,"Others","Cross-cutting"
"Indonesia",4945,"Active","PENHRA","RBAP",0,0,1,5020822,0,25200000,1480750,"Energy Efficiency","Energy Transition"
"Benin",4979,"Active","Benin NAPA LDCF 2","RBA",500,0,1,8000000,6563739,31730000,0,"Energy Access","Energy Access"
"Egypt",4998,"Active","Grid-connected Small-Scale Photovoltaic Syste","RBAS",0,4,1,3536364,2097198,30460000,66024,"Renewable Energy","Energy Transition"
"Honduras",5061,"Active","GreenHotels","RBLAC",236800,0,1,1228538,984606,8730000,1978,"Energy Efficiency","Energy Transition"
"Benin",5115,"Active","Benin Biomass Electricity Generation","RBA",153,0,1,3872602,3782687,25750000,654100,"Others","Cross-cutting"
